Titre de la série	Titre du chapitre	Numéro de chapitre	Type d'oeuvre	Résumé	Auteur(s)	Nombre de pages	Genre	Date de parution originale
One Piece	Les charisme du démon	782	Manga	L’équipage a pénétré dans le royaume de Dressrosa, dirigé par Doflamingo ! Les affrontements arrivent à leurs apogées ! Les aventures de Luffy à la poursuite du One Piece continuent !	Eiichiro Oda	17	Shonen	02/04/2015
One Piece	T'es sur ma route	783	Manga	L’équipage a pénétré dans le royaume de Dressrosa, dirigé par Doflamingo ! Les affrontements arrivent à leurs apogées ! Les aventures de Luffy à la poursuite du One Piece continuent !	Eiichiro Oda	17	Shonen	09/04/2015
One Piece	Gear 4	785	Manga	L’équipage a pénétré dans le royaume de Dressrosa, dirigé par Doflamingo ! Les affrontements arrivent à leurs apogées ! Les aventures de Luffy à la poursuite du One Piece continuent !	Eiichiro Oda	17	Shonen	23/04/2015
Flash	Tome 1 - De l'avant	1	Comic	Frappé par la foudre et aspergé de divers produits chimiques, l’agent de police scientifique Barry Allen devient subitement l’homme le plus rapide du monde. Il décide alors de mettre ses pouvoirs extraordinaires au service de la justice, sous l’identité du Flash. Et l’occasion d’éprouver ses nouveaux talents ne se fait pas attendre : le criminel Mob Rule vient tout juste de plonger la ville de Central City dans l’obscurité…	Brian Buccellato, Francis Manapul	192	Super-héros	20/03/2015
Flash	Tome 2 - La révolte des lascars	2	Comic	À peine remis du choc lié à la découverte de ses nouveaux pouvoirs, Barry Allen apprend qu’il n’est pas le seul à pouvoir courir à la vitesse de l’éclair. Turbine, un ancien pilote de chasse pris dans une faille d’énergie, tire désormais lui aussi sa super-vitesse de la Force Véloce. Mais l’affrontement est de courte durée puisque subitement Barry atterrit en Afrique, dans la cité du terrible Gorilla Grodd…	Brian Buccellato, Francis Manapul	176	Super-héros	07/05/2015
Tintin	Tintin au Congo	1	BD	A peine rentré d'URSS, Tintin repart pour le Congo. Sorcier du royaume des Babaoro'm, en lutte contre une bande de gangsters à la solde d'Al Capone ... Le plus célèbre de nos reporters sortira bien sûr triomphant de toutes ces aventures. Pour notre plus grand plaisir à tous.	Hergé	115	Aventure	01/06/1930
Tintin	Tintin au Tibet	2	BD	Un avion de ligne à bord duquel le jeune Chinois Tchang se rendait en Europe s’est écrasé dans l’Himalaya. Tintin au Tibet (1960), pure histoire d’amitié, sans le moindre méchant, décrit la recherche désespérée à laquelle Tintin se livre pour retrouver son ami. Ce récit pathétique, qui rompt avec le ton extraverti des épisodes précédents, démontre que la fidélité et l’espoir sont capables de vaincre tous les obstacles, et que les préjugés - en l’occurrence, à l’égard de l’"abominable homme des neiges" - sont bien souvent le fruit de l’ignorance.	Hergé	62	Aventure	1960
Avengers Vol 1	#1 The Coming of the Avengers!	1	Comic		Stan lee, Jack Kirby	24	Super-héros	12/07/1963
Avengers Vol 1	#1.5 The Death-Trap of Doctor Doom!	2	Comic		Roger Stern, Bruce Timm	24	Super-héros	01/12/1999
Avengers Vol 1	#2 The Space Phantom	3	Comic		Stan lee, Jack Kirby		Super-héros	01/11/1963
West Coast Avengers	#1 Avengers Assemble	1	Comic		Roger Stern, Bob Hall		Super-héros	01/09/1963
West Coast Avengers Vol 2	#46 Franchise	46	Comic		John Byrn		Super-héros	01/07/1989
Avengers : West Coast	#47 With Friends Like This!	1	Comic		John Byrn		Super-héros	01/08/1989